,Surprise,Fear,Disgust,Happy,Sad,Anger,Neutral
Surprise,37,0,0,9,1,0,9
Fear,32,0,0,0,0,0,5
Disgust,0,0,10,30,1,0,19
Happy,0,0,0,206,1,0,18
Sad,2,0,9,4,25,0,101
Anger,10,5,0,40,1,8,10
Neutral,2,0,0,4,2,0,292
