,Surprise,Fear,Disgust,Happy,Sad,Anger,Neutral
Surprise,49,10,0,2,14,2,21
Fear,34,9,0,1,3,2,4
Disgust,1,15,18,4,20,1,39
Happy,4,17,6,146,17,6,97
Sad,4,10,15,2,47,2,104
Anger,3,14,2,16,10,36,20
Neutral,4,2,1,0,25,10,365
