trial,learning_rate,batch_size,optimizer,best_epoch,accuracy,precision,recall,f1_score,training_time_sec
1,0.001,32,adam,5,0.89,0.8900422068133855,0.89,0.88930965432655,399.65524458885193
2,0.001,64,adam,5,0.8933333333333333,0.8957216820170512,0.8933333333333333,0.8940905612695896,340.2328038215637
3,0.0005,32,adam,5,0.89,0.8892593596578416,0.89,0.8890568596857158,400.234694480896
4,0.0005,64,adam,5,0.9033333333333333,0.9038876031512261,0.9033333333333333,0.9033333625137514,332.15363454818726
5,0.0001,32,adam,4,0.8866666666666667,0.8861319966583124,0.8866666666666667,0.8860329372524496,403.36931681632996
6,0.0001,64,adam,4,0.8833333333333333,0.8830536245113872,0.8833333333333333,0.8827431862562971,326.91683292388916
