,Surprise,Fear,Disgust,Happy,Sad,Anger,Neutral
Surprise,77,4,0,2,9,1,5
Fear,1,43,0,2,4,0,3
Disgust,3,0,64,0,16,2,13
Happy,8,5,0,237,16,3,24
Sad,0,0,0,2,173,1,8
Anger,2,2,2,1,5,87,2
Neutral,4,1,2,5,13,4,378
