,Surprise,Fear,Disgust,Happy,Sad,Anger,Neutral
Surprise,47,1,0,11,6,0,33
Fear,42,0,0,4,0,0,7
Disgust,1,0,8,25,22,2,40
Happy,9,1,0,214,8,1,60
Sad,9,0,5,11,49,0,110
Anger,15,6,1,39,9,10,21
Neutral,9,0,0,15,11,0,372
