Emotion,Precision,Recall,F1-Score,Support
Surprise,0.36363636363636365,0.6530612244897959,0.46715328467153283,98
Fear,0.1702127659574468,0.1509433962264151,0.16,53
Disgust,0.2916666666666667,0.14285714285714285,0.1917808219178082,98
Happy,0.7777777777777778,0.5733788395904437,0.6601178781925344,293
Sad,0.3277310924369748,0.21195652173913043,0.25742574257425743,184
Anger,0.8181818181818182,0.44554455445544555,0.5769230769230769,101
Neutral,0.6265270506108203,0.8820638820638821,0.7326530612244898,407
