,Surprise,Fear,Disgust,Happy,Sad,Anger,Neutral
Surprise,64,7,1,8,9,0,9
Fear,38,8,0,3,3,0,1
Disgust,4,10,14,10,21,8,31
Happy,31,8,2,168,22,2,60
Sad,9,1,22,6,39,0,107
Anger,9,11,5,17,8,45,6
Neutral,21,2,4,4,17,0,359
