,Surprise,Fear,Disgust,Happy,Sad,Anger,Neutral
Surprise,0,0,0,0,0,0,0
Fear,2,3,0,0,1,0,0
Disgust,0,0,0,0,1,0,0
Happy,3,6,0,0,3,1,3
Sad,0,5,0,0,10,0,0
Anger,0,0,0,1,3,0,1
Neutral,0,1,1,0,9,0,37
