,Surprise,Fear,Disgust,Happy,Sad,Anger,Neutral
Surprise,0,0,0,0,0,0,0
Fear,7,11,0,2,3,1,17
Disgust,0,0,0,0,1,0,0
Happy,7,2,0,24,24,3,23
Sad,3,3,0,1,141,8,9
Anger,5,3,0,9,12,19,3
Neutral,8,2,6,6,37,15,384
