trial,learning_rate,batch_size,optimizer,best_epoch,accuracy,precision,recall,f1_score,training_time_sec
1,0.001,32,adam,5,0.848109517601043,0.8488059659892377,0.848109517601043,0.8465434804150693,346.2821452617645
2,0.001,64,adam,5,0.8490873533246415,0.8485584180871694,0.8490873533246415,0.8474173372471675,276.7727618217468
3,0.0005,32,adam,5,0.8572359843546284,0.8546738309463376,0.8572359843546284,0.8556514857261063,258.11442613601685
4,0.0005,64,adam,5,0.8611473272490222,0.8602631128325305,0.8611473272490222,0.8596184120066572,337.62253880500793
5,0.0001,32,adam,5,0.8249674054758801,0.8226030183024279,0.8249674054758801,0.8227084299071118,329.5757739543915
6,0.0001,64,adam,5,0.8142112125162972,0.8108596607043087,0.8142112125162972,0.8108060470462407,358.62470746040344
