,Surprise,Fear,Disgust,Happy,Sad,Anger,Neutral
Surprise,36,0,1,2,0,6,8
Fear,28,1,1,0,0,2,5
Disgust,1,3,11,7,8,1,29
Happy,1,2,4,133,3,0,82
Sad,0,0,20,1,23,3,83
Anger,3,8,1,16,1,31,14
Neutral,4,1,0,0,11,11,267
