,Surprise,Fear,Disgust,Happy,Sad,Anger,Neutral
Surprise,52,1,0,0,0,0,0
Fear,0,37,0,0,0,0,0
Disgust,0,0,59,0,1,0,0
Happy,0,0,0,225,0,0,0
Sad,0,0,0,0,126,4,0
Anger,0,0,1,1,0,72,0
Neutral,0,0,0,0,1,0,293
