,Surprise,Fear,Disgust,Happy,Sad,Anger,Neutral
Surprise,43,2,0,2,0,2,4
Fear,32,0,0,0,0,2,3
Disgust,0,8,18,5,1,0,28
Happy,0,7,4,136,4,6,68
Sad,0,0,18,1,21,2,88
Anger,3,9,3,12,3,31,13
Neutral,2,0,0,0,13,9,270
