Emotion,Precision,Recall,F1-Score,Support
Surprise,0.8096590909090909,0.8662613981762918,0.8370044052863436,329
Fear,0.6285714285714286,0.5945945945945946,0.6111111111111112,74
Disgust,0.45410628019323673,0.5875,0.5122615803814714,160
Happy,0.9583333333333334,0.8928270042194093,0.9244211446046309,1185
Sad,0.73224043715847,0.8410041841004184,0.7828627069133398,478
Anger,0.7142857142857143,0.8024691358024691,0.7558139534883721,162
Neutral,0.8278145695364238,0.7352941176470589,0.778816199376947,680
