Emotion,Precision,Recall,F1-Score,Support
Surprise,0.7967479674796748,0.8936170212765957,0.8424068767908309,329
Fear,0.5104166666666666,0.6621621621621622,0.5764705882352941,74
Disgust,0.563953488372093,0.60625,0.5843373493975904,160
Happy,0.9808429118773946,0.8641350210970464,0.9187976671152983,1185
Sad,0.7835820895522388,0.8786610878661087,0.8284023668639053,478
Anger,0.7359550561797753,0.808641975308642,0.7705882352941177,162
Neutral,0.8320950965824666,0.8235294117647058,0.827790096082779,680
